t	x	y
0.035	-1.503E-3	4.616E-5
0.069	-1.483E-3	3.453E-5
0.103	-1.463E-3	4.513E-5
0.138	-1.461E-3	6.118E-5
0.172	-1.446E-3	5.776E-5
0.207	-1.446E-3	6.197E-5
0.241	-1.249E-3	4.325E-5
0.276	-1.285E-3	3.713E-5
0.310	-5.667E-4	1.393E-4
0.345	3.400E-4	7.664E-5
0.379	5.303E-4	7.689E-5
0.414	2.160E-3	2.839E-3
0.448	2.960E-3	2.831E-3
0.483	3.967E-3	2.898E-3
0.517	5.612E-3	2.979E-3
0.552	7.474E-3	3.046E-3
0.586	9.416E-3	3.143E-3
0.621	1.155E-2	3.161E-3
0.655	1.382E-2	3.209E-3
0.690	1.661E-2	3.396E-3
0.724	1.922E-2	3.336E-3
0.759	2.226E-2	3.446E-3
0.793	2.629E-2	4.688E-3
0.828	3.075E-2	4.712E-3
0.862	3.541E-2	4.756E-3
0.897	3.962E-2	4.732E-3
0.931	4.458E-2	4.752E-3
0.965	4.868E-2	4.659E-3
1.000	5.371E-2	4.631E-3
1.034	5.829E-2	4.499E-3
1.069	6.281E-2	4.220E-3
1.103	6.730E-2	3.847E-3
1.138	7.222E-2	2.986E-3
1.172	8.177E-2	1.715E-3
1.207	8.595E-2	1.042E-3
1.241	9.023E-2	5.398E-4
1.276	9.501E-2	-1.335E-4
1.310	9.932E-2	-9.935E-4
1.345	0.103	-1.914E-3
1.379	0.106	-3.161E-3
1.414	0.110	-4.194E-3
1.448	0.115	-5.312E-3
1.483	0.120	-6.193E-3
1.517	0.124	-7.334E-3
1.552	0.129	-8.345E-3
1.586	0.132	-9.988E-3
1.621	0.136	-1.157E-2
1.655	0.140	-1.288E-2
1.690	0.145	-1.378E-2
1.724	0.149	-1.526E-2
1.759	0.153	-1.716E-2
1.793	0.156	-1.923E-2
1.827	0.160	-2.111E-2
1.862	0.164	-2.287E-2
1.896	0.169	-2.484E-2
1.931	0.172	-2.960E-2
1.965	0.176	-3.161E-2
2.000	0.179	-3.412E-2
2.034	0.183	-3.651E-2
2.069	0.187	-3.866E-2
2.103	0.191	-4.053E-2
2.138	0.194	-4.254E-2
2.172	0.198	-4.462E-2
2.207	0.204	-4.976E-2
2.241	0.207	-5.203E-2
2.276	0.211	-5.425E-2
2.310	0.215	-5.664E-2
2.345	0.218	-5.942E-2
2.379	0.220	-6.201E-2
2.414	0.224	-6.475E-2
2.448	0.226	-6.698E-2
2.483	0.230	-6.938E-2
2.517	0.233	-7.196E-2
2.552	0.235	-7.431E-2
2.586	0.238	-7.731E-2
2.621	0.240	-8.010E-2
2.655	0.243	-8.271E-2
2.689	0.245	-8.525E-2
2.724	0.248	-8.768E-2
2.758	0.250	-9.062E-2
2.793	0.252	-9.316E-2
2.827	0.254	-9.618E-2
2.862	0.256	-9.854E-2
2.896	0.258	-0.101
2.931	0.260	-0.104
2.965	0.261	-0.107
3.000	0.263	-0.109
3.034	0.265	-0.112
3.069	0.266	-0.114
3.103	0.267	-0.117
3.138	0.269	-0.119
3.172	0.270	-0.121
3.207	0.271	-0.123
3.241	0.273	-0.128
3.276	0.274	-0.130
3.310	0.275	-0.132
3.345	0.276	-0.134
3.379	0.276	-0.135
3.414	0.276	-0.137
3.448	0.277	-0.139
3.483	0.278	-0.140
3.517	0.278	-0.142
3.551	0.279	-0.143
3.586	0.279	-0.144
3.620	0.279	-0.145
3.655	0.279	-0.146
3.689	0.280	-0.147
3.724	0.280	-0.148
3.758	0.280	-0.149
3.793	0.280	-0.149
3.827	0.280	-0.149
3.862	0.280	-0.149
3.896	0.280	-0.149
3.931	0.280	-0.149
3.965	0.280	-0.149
4.000	0.280	-0.148
4.034	0.280	-0.148
4.069	0.280	-0.148
4.103	0.280	-0.147
4.138	0.280	-0.146
4.172	0.280	-0.145
4.207	0.280	-0.144
4.241	0.280	-0.143
4.276	0.281	-0.140
4.310	0.282	-0.138
4.345	0.282	-0.137
4.379	0.283	-0.135
4.413	0.284	-0.133
4.448	0.285	-0.131
4.482	0.285	-0.129
4.517	0.287	-0.126
4.551	0.288	-0.124
4.586	0.289	-0.121
4.620	0.291	-0.118
4.655	0.292	-0.116
4.689	0.295	-0.112
4.724	0.296	-0.110
4.758	0.298	-0.107
4.793	0.300	-0.104
4.827	0.302	-0.100
4.862	0.305	-9.655E-2
4.896	0.307	-9.357E-2
4.931	0.310	-8.913E-2
4.965	0.313	-8.576E-2
5.000	0.316	-8.217E-2
5.034	0.319	-7.944E-2
5.069	0.322	-7.602E-2
5.103	0.326	-7.243E-2
5.138	0.330	-6.874E-2
5.172	0.334	-6.494E-2
5.207	0.338	-6.126E-2
5.241	0.342	-5.783E-2
5.275	0.345	-5.493E-2
5.310	0.349	-5.199E-2
5.344	0.354	-4.825E-2
5.379	0.363	-4.176E-2
5.413	0.369	-3.864E-2
5.448	0.374	-3.515E-2
5.482	0.380	-3.175E-2
5.517	0.385	-2.893E-2
5.551	0.391	-2.611E-2
5.586	0.396	-2.347E-2
5.620	0.402	-2.083E-2
5.655	0.408	-1.840E-2
5.689	0.415	-1.509E-2
5.724	0.421	-1.294E-2
5.758	0.427	-1.099E-2
5.793	0.434	-8.780E-3
5.827	0.440	-7.110E-3
5.862	0.446	-5.048E-3
5.896	0.453	-3.192E-3
5.931	0.461	-1.801E-3
5.965	0.468	1.842E-4
6.000	0.475	1.795E-3
6.034	0.482	2.867E-3
6.069	0.489	3.675E-3
6.103	0.496	4.167E-3
6.137	0.504	4.999E-3
6.172	0.512	5.651E-3
6.206	0.519	6.137E-3
6.241	0.526	6.502E-3
6.275	0.534	6.023E-3
6.310	0.542	5.711E-3
6.344	0.549	5.494E-3
6.379	0.557	5.218E-3
6.413	0.572	3.932E-3
6.448	0.580	2.833E-3
6.482	0.588	1.658E-3
6.517	0.595	2.296E-4
6.551	0.603	-1.422E-3
6.586	0.610	-3.212E-3
6.620	0.618	-5.243E-3
6.655	0.625	-7.332E-3
6.689	0.632	-9.381E-3
